RegionID,RegionName,SizeRank,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
9,California,1,161705,161250,160895,160863,161032,161336,161592,161715,161882,162208,162476,162711,162782,163094,163543,164371,165329,166420,167238,168074,168958,170561,172228,173765,174723,175662,176795,178066,179484,181001,182372,183568,184451,185771,187111,188504,189516,190638,192198,194103,195850,197396,198920,200740,202563,204454,206197,208104,210073,212278,214739,217590,220645,223705,226341,228918,231300,233456,235623,238125,240959,243604,246008,248606,251270,253921,256127,258147,259887,261410,263043,265067,267645,270646,274095,278539,283319,288035,292057,295916,299507,302641,305484,308739,312494,316789,320575,325335,330523,336378,341359,345940,350078,354671,359905,366063,372983,381241,390487,400238,409473,418266,426102,432358,438329,443492,449703,456410,464248,471692,478624,486064,493832,501523,508055,512188,515478,517950,520360,523208,525821,528895,530781,531994,532745,531991,530474,528208,525755,523522,521207,518940,516631,513147,509525,505198,501051,495719,489265,482236,474217,466354,457029,446607,435018,423459,412735,402126,392339,383389,375343,366541,357926,349862,344810,340606,336757,333145,330302,328908,327856,327143,326930,328600,330811,332370,332255,333413,335100,337048,336523,335362,333489,331865,329570,327426,325848,324319,322797,320841,319222,316527,314768,313460,311797,309663,307088,306298,305485,305002,304609,304947,306101,307789,309908,312435,315157,318016,321510,325331,330739,336062,342390,349098,356560,363911,371460,378835,385544,391275,396394,401763,406923,412113,416592,419078,420162,420522,421021,421569,421318,421797,423156,426140,429011,432034,435243,438734,441289,443657,445255,445826,446861,448772,452376,455785,460583,464986,468857,471009,473661,475911,478106,478413,479545,481002,484639,488144,491758,495548,499439,503080,506169,509303,512494,513286,513976,515351,519242,524049,529360,534876,540473,544912,548296,550551,552482,552556,552049,551281,552387,553696,554449,554819,554939,555303,556553,557704,558774,557899,557280,557356,559531,561859,565250
54,Texas,2,97690,97700,97726,97769,97876,98092,98349,98585,98817,98988,99103,99117,99062,99005,99044,99131,99317,99554,99874,100128,100379,100988,101545,102009,101966,102012,102130,102385,102642,102909,103045,103128,103171,103517,104087,104747,105338,105852,106445,107056,107667,108189,108802,109468,110130,110619,110918,111002,111037,110913,110880,110833,111094,111423,111787,112197,112634,112916,112846,112521,112271,112212,112270,112358,112508,112709,112949,113116,113269,113417,113614,113887,114206,114526,114952,115394,115968,116458,116903,117264,117574,117858,118007,118130,118187,118260,118396,118559,118873,119155,119480,119673,119847,120428,121562,123124,124305,125096,125469,125985,126539,127252,127879,128398,128827,129437,129910,130323,130536,130761,131070,131338,131702,132083,132376,132709,132902,133178,133472,133821,134215,134716,135270,135833,136401,137051,137882,138545,139177,139388,139430,139335,139595,139972,140486,140882,141469,142039,142576,142938,143245,142807,142158,141335,141030,140727,140467,140273,139928,139476,138969,138461,137974,137494,137302,137232,137240,137228,137184,137222,137122,137034,136883,137050,137188,137156,137072,137119,137390,137600,137550,137150,136584,136003,135445,134824,134294,133790,133249,132797,132411,132144,131780,131662,131607,131649,131536,131269,130966,130850,131068,131525,131963,132440,132855,133370,133751,134001,134166,134490,134936,135520,136149,137006,137962,138947,139898,140875,141783,142718,143682,144682,145562,146355,147237,148105,148984,149904,150924,151853,152699,153472,154323,155271,156305,157300,158323,159439,160639,161785,162898,163911,164700,165358,166156,167029,168036,168999,169966,170891,171881,173036,174093,175120,175812,176518,177243,178368,179689,180819,181973,182952,184074,185023,185941,186650,187220,187820,188624,189584,190561,191457,192418,193513,194743,195900,196940,197773,198556,199174,199897,200605,201543,202626,203708,204506,205082,205659,206227,206789,207307,207903,208173,208470,208656
43,New York,3,121143,120794,120428,120149,120041,120103,120237,120388,120553,120751,121101,121431,121560,121469,121368,121473,121671,121972,122222,122669,123096,123992,124535,125051,125037,125107,125145,125127,125390,125815,126515,126976,127404,127660,128181,128757,129496,130212,130960,132018,132835,133690,134325,135101,135757,136342,137241,138310,139511,140481,141418,142140,142745,143333,144090,145152,146247,147278,148132,148996,149857,150699,151556,152470,153433,154411,155532,156796,158114,159380,160560,161590,162607,163557,164634,165787,167114,168499,169913,171386,172940,174425,175871,177455,178864,180155,181334,182637,184342,186307,188351,190013,191487,192980,194416,195551,196695,198001,199657,201499,203404,205473,207473,209561,211462,213289,215070,216565,218133,219708,221398,223281,225346,227635,229954,231963,233929,235497,236895,237981,238862,239647,240525,241403,242289,242869,243454,243794,244109,244206,244288,244377,244209,244185,244070,244160,244326,244401,244784,245085,245189,245124,244765,244448,243813,242988,242008,240910,239899,238810,237530,236143,234896,233681,232644,231617,230736,229824,228902,228078,227351,226887,226658,226561,226531,226382,226417,226424,226768,226995,227365,227441,227112,226438,225441,224562,223702,223180,222706,222308,221651,221014,220156,219494,218915,218450,217995,217397,216929,216477,216018,215684,215525,215686,215895,216126,216276,216359,216293,216321,216485,216702,217148,217544,218266,219010,219874,220636,221176,221589,222077,222570,223070,223520,224017,224643,225278,225903,226430,226742,226939,227039,227182,227362,227708,227979,228193,228350,228831,229510,230294,230996,231547,231983,232248,232438,232550,232693,233208,233978,234956,235918,236753,237471,238123,238667,239282,239949,240863,241710,242345,242982,244090,245601,247322,248607,249605,250358,251033,251859,252629,253715,254807,256067,257343,258641,259971,261277,262524,263633,264444,265099,265709,266487,267364,268478,269589,270730,271569,272068,272336,272442,272525,272779,273294
14,Florida,4,104015,104082,104180,104288,104392,104506,104694,104934,105210,105511,105770,105960,106077,106222,106367,106539,106743,107052,107386,107799,108184,109098,109811,110396,110324,110366,110414,110574,110836,111320,111931,112426,112784,113040,113347,113650,113946,114281,114852,115517,116123,116601,117062,117682,118280,118942,119554,120220,120809,121380,121963,122584,123226,123961,124769,125659,126528,127415,128270,129120,129919,130765,131673,132711,133818,135001,136224,137422,138566,139672,140644,141576,142463,143455,144519,145642,146899,148149,149470,150726,152109,153521,154921,156295,157650,159068,160482,161948,163528,165238,167025,168775,170407,172058,173642,175384,177208,179435,182020,184956,188241,191494,194570,197407,200346,203486,206769,210485,214752,219527,224780,230480,236383,242029,247048,251648,255895,259823,263289,267061,271250,275128,278177,280006,281216,281415,281004,280128,278751,277269,275784,274331,272799,270836,268350,265288,262000,258657,255068,251255,247288,243035,238925,234593,230648,226247,222208,217940,213559,209116,204510,199870,195400,191234,187695,184394,181099,178033,175164,172959,170865,168889,167212,166259,165445,164781,164148,163855,163608,163175,162425,161313,159938,158388,156747,155034,153404,151764,150303,148891,147647,146392,145335,144332,143627,143051,142697,142438,142222,142147,142181,142568,143139,143774,144404,145156,146033,146999,148033,149087,150301,151761,153459,155245,157002,158948,160799,162853,164945,167193,169249,171160,172910,174520,175962,177313,178391,179388,180132,180918,181415,182138,183208,184413,185686,186798,188107,189238,190360,191475,192662,193774,195019,196416,197926,199294,200934,202525,204308,205656,207127,208411,209838,211248,212596,213841,215073,216545,218156,219660,221103,222434,224097,225619,227100,228306,229619,230906,232296,233705,235310,236446,237721,239102,240843,242459,243728,244808,245758,246747,247786,248957,250360,251609,252530,253080,253654,254112,254598,255099,255438,255799,256392,257286,258277
21,Illinois,5,138341,138263,138565,138632,138902,139382,139992,140584,141113,141564,141952,142137,142161,142528,142733,142900,140797,138161,133821,130488,128038,127265,127308,127196,127140,127092,127212,127813,129043,130781,132746,134536,135894,136631,137105,137406,137733,137925,138613,139592,140557,141306,142056,143031,143934,144940,145821,146573,147107,147569,148212,149049,150209,151503,152890,154312,155587,156600,157283,157890,158438,159108,159896,160854,162014,163368,164864,166316,167464,168329,169047,169817,170343,170893,171526,172633,174013,175511,177039,178345,179646,180660,181632,182290,183038,183559,184208,185022,186397,188104,189853,191401,192672,193869,194829,195615,196480,197407,198703,200061,201686,203252,204979,206759,208558,209937,211084,211975,212977,213976,215198,216610,218303,220332,222406,224316,225991,227364,228381,229164,229668,230215,230569,231132,231904,232745,233504,234169,234753,235297,235435,235187,234540,233715,232997,232408,232134,231721,231410,231053,230342,229351,226756,225867,223306,222656,219759,218676,216070,214604,212037,209964,207031,203719,201140,198442,196835,194632,192969,191598,190505,188916,187586,186320,186041,185162,184684,183261,183554,182803,183268,181229,180280,178369,177259,175153,173334,171565,170160,169087,167662,166763,165415,164919,163950,163183,161433,160361,158652,157786,156076,155898,155635,155999,155920,155329,154830,154160,154542,154952,155242,155734,156385,157146,158169,159068,160499,161566,163070,164222,165825,166481,167321,167750,168630,169186,169566,170203,171091,171712,171974,172194,172462,172786,173097,173358,173720,174517,175566,176488,176704,176785,176717,176694,176729,176792,177254,177929,179336,180694,181863,182566,183040,183418,183684,183879,184307,184978,185979,187207,188472,189891,191129,192038,192438,192528,192744,193084,193685,194309,195225,196327,197482,198404,199147,199718,200132,200183,200192,200328,200590,200896,201177,201560,202304,203134,203876,204259,204319,204182,203999,203745,203588,203471,203598
47,Pennsylvania,6,95563,95303,95173,95092,95196,95315,95594,95857,96159,96384,96452,96472,96454,96558,96692,96890,97053,97296,97562,97904,98270,98699,98994,99134,99092,99046,99001,99001,99244,99600,100074,100380,100604,100778,100960,101109,101235,101297,101404,101551,101775,102100,102449,102884,103370,103900,104468,104958,105371,105688,105966,106277,106632,107082,107584,108179,108799,109402,109905,110370,110798,111103,111401,111755,112262,112831,113404,114034,114632,115237,115796,116329,116850,117343,117878,118520,119378,120309,121265,122048,122842,123601,124338,124964,125582,126352,127299,128336,129374,130480,131564,132515,133357,134096,135020,135822,136691,137714,138957,140480,141935,143489,144805,146217,147555,148929,149840,150691,151641,152890,154412,156085,157925,159654,161199,162596,163884,164973,165801,166483,167225,168148,169273,170318,171215,171876,172431,172850,173171,173484,173806,174152,174386,174647,174875,175297,175638,175863,176017,176193,176272,176120,175953,175632,175349,174888,174445,173796,173042,172318,171723,171104,170328,169495,168992,168673,168411,168003,167637,167361,167032,166765,166625,166721,166858,167116,167412,167824,168168,168329,168283,167968,167446,166660,165742,164725,163773,162941,162268,161735,161116,160462,159698,159071,158590,158287,157958,157575,157144,156757,156473,156337,156353,156445,156462,156392,156270,156131,156017,155940,155942,156052,156268,156609,157089,157584,158115,158590,158886,159091,159152,159309,159390,159561,159824,160164,160453,160684,160993,161270,161360,161287,161191,161187,161292,161411,161639,162090,162761,163469,163875,164036,164096,164209,164382,164564,164756,165119,165773,166339,166887,167198,167725,168111,168491,168684,168946,169312,169971,170438,171003,171679,172737,173755,174541,175140,175655,176207,176837,177436,178140,178997,180002,181477,182838,184094,184712,185175,185505,185887,186253,186791,187430,188204,189027,189798,190526,191318,192037,192677,193147,193529,193977,194469,195098
44,Ohio,7,92759,93018,93255,93474,93753,94068,94402,94769,95147,95543,95865,96128,96327,96540,96803,97114,97411,97726,98038,98405,98790,99266,99706,100072,100299,100511,100766,101096,101477,101901,102393,102897,103345,103728,104056,104369,104605,104768,104936,105143,105456,105825,106245,106714,107285,107950,108525,108934,109282,109702,110180,110592,111017,111481,111968,112501,113037,113586,113996,114356,114626,114867,115067,115331,115682,116073,116479,116886,117287,117671,117969,118223,118392,118558,118734,118979,119278,119622,120014,120474,120948,121406,121795,122095,122333,122538,122815,123165,123656,124174,124712,125170,125622,126034,126443,126796,127040,127246,127459,127759,128059,128399,128758,129178,129586,130067,130498,130860,131083,131226,131420,131632,131952,132281,132657,133051,133410,133721,133907,134010,134026,134019,134014,134045,134087,134102,134112,134079,134001,133934,133881,133669,133360,133003,132713,132383,132097,131963,131780,131412,130970,130553,130113,129712,129265,128881,128447,128078,127683,127257,126685,126169,125475,124686,123791,123020,122500,122114,121744,121299,120886,120575,120420,120203,120020,119818,119842,119793,119803,119703,119562,119164,118718,118174,117611,116915,116148,115471,114837,114371,113812,113275,112768,112476,112282,112048,111733,111379,111069,110665,110291,110094,110070,110027,109948,109925,110003,110085,110126,110096,110089,110135,110304,110481,110797,111223,111799,112333,112790,113062,113389,113664,113886,113794,113674,113593,113728,113984,114364,114749,114917,115045,115070,115295,115606,116087,116645,117205,117764,118367,118945,119462,119844,120133,120369,120636,120892,121250,121665,122287,122951,123550,124063,124528,124984,125418,125849,126368,126974,127626,128330,129110,130024,130891,131657,132241,132876,133510,134230,134838,135438,135848,136546,137448,138682,139813,140721,141488,141976,142377,142741,143270,143879,144611,145414,146360,147146,148009,148747,149507,150012,150536,150986,151304,151694
30,Michigan,8,90418,90962,91478,91929,92430,92987,93546,94186,94838,95480,96132,96783,97382,97830,98178,98646,99285,100071,100855,101591,102219,102800,103454,104053,104625,105020,105492,106044,106663,107362,108061,108804,109535,110058,110718,111290,112010,112556,113224,113971,114805,115653,116448,117305,118156,119062,119827,120579,121250,121908,122527,123327,124168,125021,125813,126741,127705,128527,129167,129683,130159,130577,130920,131355,131926,132654,133349,134015,134638,135274,135832,136286,136568,136688,136824,137003,137363,137763,138276,138801,139347,139803,140239,140422,140626,140853,141201,141590,142075,142709,143465,144137,144784,145336,145781,146168,146361,146531,146679,147003,147437,147955,148546,149105,149655,150166,150526,150804,150955,151109,151149,151231,151499,151918,152354,152712,153058,153336,153525,153470,153188,152703,152161,151746,151421,151180,150899,150568,150109,149491,148840,148033,147199,146094,145142,144045,143348,142377,141525,140496,139718,138796,137529,135851,133863,132008,130235,128530,126577,124914,123638,122443,120811,118623,116449,114284,112468,110811,109312,108176,107120,106324,105373,104672,104019,103691,103169,102836,102659,102791,102935,102670,102215,101476,100791,99948,99222,98374,97670,96953,96259,95673,95115,94789,94735,94806,94853,94712,94540,94405,94285,94569,94883,95458,96054,96878,97647,98275,98971,99621,100185,100781,101647,102840,104071,105340,106634,108098,109573,110951,112091,113089,114115,115229,116237,117138,117932,118837,119860,120746,121357,121633,121885,122191,122529,122998,123580,124396,125228,125997,126721,127332,127872,128148,128356,128691,129298,130022,130779,131430,132475,133634,134843,135776,136447,137186,137896,138576,139248,140133,141190,142456,143829,145385,146692,147512,148095,148602,149149,149815,150569,151836,153278,154849,156298,157701,159010,159968,160662,161144,161557,161973,162642,163429,164400,165411,166498,167723,168755,169461,169659,169886,170056,170490,170861
16,Georgia,9,102771,103039,103370,103708,104043,104382,104717,105126,105556,106030,106462,106879,107250,107636,108023,108492,108992,109554,110060,110610,111150,111981,112661,113230,113472,113869,114376,114980,115548,116110,116668,117313,117903,118443,118932,119476,120060,120663,121324,122076,122748,123451,124116,124858,125557,126240,126945,127666,128418,129162,129933,130728,131562,132425,133316,134260,135288,136324,137110,137746,138246,138878,139488,140147,140807,141488,142147,142783,143390,143956,144475,144898,145281,145678,146098,146522,146920,147377,147856,148320,148697,149082,149395,149715,149928,150151,150366,150635,150999,151413,151817,152211,152636,153028,153374,153667,154029,154425,154811,155221,155737,156337,156967,157516,157991,158372,158680,158965,159383,159967,160647,161289,161922,162607,163266,163916,164482,165065,165567,165979,166360,166774,167306,167903,168532,169098,169591,169938,170361,170704,171033,171275,171546,171773,171903,171943,171965,171829,171596,171114,170687,169919,169074,167982,167162,166385,165580,164601,163524,162435,161179,159477,157452,155515,153831,152267,150504,148764,147196,145994,145021,144072,143087,142185,141504,140783,140186,139694,139559,139395,139068,138167,137003,135475,134178,132730,131454,130108,129106,127988,126704,125117,123714,122636,122024,121659,121367,121025,120278,119740,119263,119511,119789,120194,120616,121144,121511,121637,121822,122386,123117,124108,125175,126352,127393,128495,129691,130906,132225,133539,134886,136058,137280,138357,139415,140345,141281,142120,142881,143614,144240,144856,145430,146088,146750,147413,148056,148696,149485,150406,151323,152004,152590,153138,153693,154329,155044,155902,156757,157745,158829,159818,160560,161085,161510,161865,162427,163207,164223,165056,165985,166912,167995,168989,169997,171024,171949,173138,174302,175699,177094,178522,179978,181263,182651,183934,185152,186281,187321,188402,189497,190640,191741,192681,193686,194870,196079,197026,197596,198174,198854,199653,200384,200884,201459
36,North Carolina,10,110287,110589,111021,111545,112121,112598,113104,113641,114188,114764,115269,115812,116266,116709,117126,117555,118107,118734,119192,119579,119909,120359,120702,120981,121245,121660,122185,122767,123238,123685,124154,124637,125089,125438,125833,126161,126566,126871,127211,127603,127967,128375,128715,129199,129713,130226,130762,131238,131750,132226,132734,133223,133666,134114,134586,135197,135834,136515,136936,137259,137445,137706,137973,138238,138579,138918,139293,139579,139856,140122,140318,140483,140510,140653,140802,141084,141334,141592,141835,142090,142374,142674,142902,143078,143158,143294,143443,143699,144029,144372,144690,144993,145368,145771,146128,146386,146612,146828,147169,147551,147988,148461,148971,149520,150066,150466,150891,151208,151682,152176,152894,153711,154617,155473,156365,157182,157990,158713,159379,160050,160752,161575,162433,163381,164360,165284,166106,166777,167409,168050,168578,169153,169702,170357,171020,171620,172198,172619,172934,173166,173318,173413,173386,173350,173226,173047,172695,172246,171805,171333,170852,170168,169370,168507,167912,167387,166753,165962,165164,164474,163678,163021,162515,162208,161828,161461,161009,160681,160552,160522,160348,159829,159176,158469,157820,157123,156449,155699,155007,154272,153483,152779,152188,151695,151149,150697,150114,149539,148975,148561,148296,148194,148357,148402,148314,148172,148205,148212,148247,148265,148311,148426,148627,149079,149581,150144,150632,151099,151573,151973,152436,152801,153309,153753,154306,154758,155158,155458,155642,155760,155787,155891,156034,156337,156675,157145,157711,158465,159124,159661,160098,160604,161167,161640,162072,162422,162757,163166,163751,164343,165076,165874,166785,167590,168325,169114,169921,170788,171697,172574,173455,174440,175523,176511,177313,177931,178610,179400,180438,181463,182548,183614,184818,185943,186995,188011,189007,190050,190988,191933,192756,193723,194692,195716,196681,197620,198657,199516,200311,200958,201594,202332,203221,204149,205021
